Title,Price,Star,Rating,Genre,Badge,Url,ASIN
"Harry Potter and the Sorcerer's Stone: MinaLima Edition (Harry Potter, Book 1) (1)",$22.79,5.0 out of 5 stars,475,Empty,Empty,https://www.amazon.com//Harry-Potter-Sorcerers-Stone-MinaLima/dp/1338596705/ref=sr_1_28?dchild=1&fst=as%3Aoff&qid=1605801188&refinements=p_n_publication_date%3A1250226011&rnid=1250225011&s=books&sr=1-28,1338596705
Talking to GOATs: The Moments You Remember and the Stories You Never Heard,$23.19,3.5 out of 5 stars,71,in Journalist Biographies,Best Seller,https://www.amazon.com//Talking-GOATs-Jim-Gray/dp/0062992066/ref=sr_1_29?dchild=1&fst=as%3Aoff&qid=1605801188&refinements=p_n_publication_date%3A1250226011&rnid=1250225011&s=books&sr=1-29,0062992066
Frontier Follies: Adventures in Marriage and Motherhood in the Middle of Nowhere,$18.89,5.0 out of 5 stars,3,in Motherhood,Best Seller,https://www.amazon.com//Frontier-Follies/dp/0062962752/ref=sr_1_30?dchild=1&fst=as%3Aoff&qid=1605801188&refinements=p_n_publication_date%3A1250226011&rnid=1250225011&s=books&sr=1-30,0062962752
Daylight (An Atlee Pine Thriller Book 3),$14.99,4.5 out of 5 stars,223,in Suspense,Best Seller,https://www.amazon.com//Daylight-Atlee-Pine-Thriller-Book-ebook/dp/B085C6J29D/ref=sr_1_31?dchild=1&fst=as%3Aoff&qid=1605801188&refinements=p_n_publication_date%3A1250226011&rnid=1250225011&s=books&sr=1-31,B085C6J29D
Dessert Person: Recipes and Guidance for Baking with Confidence,$17.98,4.9 out of 5 stars,369,in Dessert Baking,Best Seller,https://www.amazon.com//Dessert-Person-Recipes-Guidance-Confidence/dp/1984826964/ref=sr_1_32?dchild=1&fst=as%3Aoff&qid=1605801188&refinements=p_n_publication_date%3A1250226011&rnid=1250225011&s=books&sr=1-32,1984826964
Made for Living: Collected Interiors for All Sorts of Styles,$35.49,4.6 out of 5 stars,109,in Feng Shui,Best Seller,https://www.amazon.com//Made-Living-Collected-Interiors-Styles/dp/1984823914/ref=sr_1_33?dchild=1&fst=as%3Aoff&qid=1605801208&refinements=p_n_publication_date%3A1250226011&rnid=1250225011&s=books&sr=1-33,1984823914
The Book on Pie: Everything You Need to Know to Bake Perfect Pies,$31.50,4.8 out of 5 stars,73,Empty,Empty,https://www.amazon.com//Book-Pie-Everything-Need-Perfect/dp/0358229286/ref=sr_1_34?dchild=1&fst=as%3Aoff&qid=1605801208&refinements=p_n_publication_date%3A1250226011&rnid=1250225011&s=books&sr=1-34,0358229286
One Life,$18.66,4.6 out of 5 stars,51,in Soccer Biographies,Best Seller,https://www.amazon.com//One-Life-Megan-Rapinoe/dp/1984881167/ref=sr_1_35?dchild=1&fst=as%3Aoff&qid=1605801208&refinements=p_n_publication_date%3A1250226011&rnid=1250225011&s=books&sr=1-35,1984881167
The Bad Guys in The One?! (The Bad Guys #12) (12),$6.99,4.7 out of 5 stars,180,Empty,Teachers' pick,https://www.amazon.com//Bad-Guys-One-12/dp/1338329502/ref=sr_1_36?dchild=1&fst=as%3Aoff&qid=1605801208&refinements=p_n_publication_date%3A1250226011&rnid=1250225011&s=books&sr=1-36,1338329502
Fritz the Farting Reindeer: A Story About a Reindeer Who Farts,$11.50,4.5 out of 5 stars,25,Empty,Empty,https://www.amazon.com//Fritz-Farting-Reindeer-Story-About/dp/1953399150/ref=sr_1_37?dchild=1&fst=as%3Aoff&qid=1605801208&refinements=p_n_publication_date%3A1250226011&rnid=1250225011&s=books&sr=1-37,1953399150
A Republic Under Assault: The Left's Ongoing Attack on American Freedom (3) (Judicial Watch),$18.62,4.7 out of 5 stars,100,Empty,Empty,https://www.amazon.com//Republic-Under-Assault-American-Judicial/dp/1982163658/ref=sr_1_38?dchild=1&fst=as%3Aoff&qid=1605801208&refinements=p_n_publication_date%3A1250226011&rnid=1250225011&s=books&sr=1-38,1982163658
Freddie The Farting Snowman: A Funny Read Aloud Picture Book For Kids And Adults About Snowmen Farts and Toots (Toots and Farts),$10.94,4.3 out of 5 stars,21,in Children's General Humor Books,Best Seller,https://www.amazon.com//Freddie-Farting-Snowman-Picture-Snowmen/dp/B08M21XL12/ref=sr_1_39?dchild=1&fst=as%3Aoff&qid=1605801208&refinements=p_n_publication_date%3A1250226011&rnid=1250225011&s=books&sr=1-39,B08M21XL12
The Wonder Boy of Whistle Stop: A Novel,$14.99,4.7 out of 5 stars,807,Empty,Empty,https://www.amazon.com//Wonder-Boy-Whistle-Stop-Novel-ebook/dp/B084M6GFMG/ref=sr_1_40?dchild=1&fst=as%3Aoff&qid=1605801208&refinements=p_n_publication_date%3A1250226011&rnid=1250225011&s=books&sr=1-40,B084M6GFMG
Group: How One Therapist and a Circle of Strangers Saved My Life,$17.33,4.4 out of 5 stars,337,Empty,Empty,https://www.amazon.com//Group-How-One-Therapist-Circle-Strangers-Saved-My-Life/dp/1982154616/ref=sr_1_41?dchild=1&fst=as%3Aoff&qid=1605801208&refinements=p_n_publication_date%3A1250226011&rnid=1250225011&s=books&sr=1-41,1982154616
White Ivy: A Novel,$13.99,4.1 out of 5 stars,278,in Asian American Literature,Best Seller,https://www.amazon.com//White-Ivy-Novel-Susie-Yang-ebook/dp/B084G9ZJC4/ref=sr_1_42?dchild=1&fst=as%3Aoff&qid=1605801208&refinements=p_n_publication_date%3A1250226011&rnid=1250225011&s=books&sr=1-42,B084G9ZJC4
"Joe Biden: The Life, the Run, and What Matters Now",$15.99,4.3 out of 5 stars,81,Empty,Empty,https://www.amazon.com//Joe-Biden-Life-What-Matters/dp/1982174021/ref=sr_1_43?dchild=1&fst=as%3Aoff&qid=1605801208&refinements=p_n_publication_date%3A1250226011&rnid=1250225011&s=books&sr=1-43,1982174021
"Empty Out the Negative: Make Room for More Joy, Greater Confidence, and New Levels of Influence",$18.39,4.6 out of 5 stars,51,Empty,Empty,https://www.amazon.com//Empty-Out-Negative-Confidence-Influence/dp/154601599X/ref=sr_1_44?dchild=1&fst=as%3Aoff&qid=1605801208&refinements=p_n_publication_date%3A1250226011&rnid=1250225011&s=books&sr=1-44,154601599X
Apollo's Arrow: The Profound and Enduring Impact of Coronavirus on the Way We Live,$27.55,4.7 out of 5 stars,41,in Respiratory Diseases,Best Seller,https://www.amazon.com//Apollos-Arrow-Profound-Enduring-Coronavirus/dp/0316628212/ref=sr_1_45?dchild=1&fst=as%3Aoff&qid=1605801208&refinements=p_n_publication_date%3A1250226011&rnid=1250225011&s=books&sr=1-45,0316628212
No One Asked for This: Essays,$16.19,3.0 out of 5 stars,2,Empty,Empty,https://www.amazon.com//No-One-Asked-This-Essays/dp/0358197023/ref=sr_1_46?dchild=1&fst=as%3Aoff&qid=1605801208&refinements=p_n_publication_date%3A1250226011&rnid=1250225011&s=books&sr=1-46,0358197023
All That Glitters: A Novel,$20.28,3.9 out of 5 stars,25,Empty,Empty,https://www.amazon.com//All-That-Glitters-Danielle-Steel/dp/0399179682/ref=sr_1_47?dchild=1&fst=as%3Aoff&qid=1605801208&refinements=p_n_publication_date%3A1250226011&rnid=1250225011&s=books&sr=1-47,0399179682
The Wim Hof Method: Activate Your Full Human Potential,$23.39,4.8 out of 5 stars,292,Empty,Empty,https://www.amazon.com//Wim-Hof-Method-Activate-Potential/dp/1683644093/ref=sr_1_48?dchild=1&fst=as%3Aoff&qid=1605801208&refinements=p_n_publication_date%3A1250226011&rnid=1250225011&s=books&sr=1-48,1683644093
What Kind of Woman: Poems,$14.99,4.8 out of 5 stars,59,Empty,Empty,https://www.amazon.com//What-Kind-Woman-Kate-Baer/dp/0063008424/ref=sr_1_49?dchild=1&fst=as%3Aoff&qid=1605801212&refinements=p_n_publication_date%3A1250226011&rnid=1250225011&s=books&sr=1-49,0063008424
The Couch Potato,$16.99,4.7 out of 5 stars,70,Empty,Empty,https://www.amazon.com//Couch-Potato-Jory-John/dp/0062954539/ref=sr_1_50?dchild=1&fst=as%3Aoff&qid=1605801212&refinements=p_n_publication_date%3A1250226011&rnid=1250225011&s=books&sr=1-50,0062954539
"Anne Neilson's Angels: Devotions and Art to Encourage, Refresh, and Inspire",$21.99,5.0 out of 5 stars,16,Empty,Empty,https://www.amazon.com//Anne-Neilsons-Angels-Devotions-Encourage/dp/1400220408/ref=sr_1_51?dchild=1&fst=as%3Aoff&qid=1605801212&refinements=p_n_publication_date%3A1250226011&rnid=1250225011&s=books&sr=1-51,1400220408
HRH: So Many Thoughts on Royal Style,$26.49,4.3 out of 5 stars,8,in Royalty Biographies,Best Seller,https://www.amazon.com//HRH-Many-Thoughts-Royal-Style/dp/1250625084/ref=sr_1_52?dchild=1&fst=as%3Aoff&qid=1605801212&refinements=p_n_publication_date%3A1250226011&rnid=1250225011&s=books&sr=1-52,1250625084
Una tierra prometida / A Promised Land (Spanish Edition),$15.49,1.0 out of 5 stars,1,in Civil Rights & Liberties,Best Seller,https://www.amazon.com//tierra-prometida-Promised-Land-Spanish/dp/1644732572/ref=sr_1_53?dchild=1&fst=as%3Aoff&qid=1605801212&refinements=p_n_publication_date%3A1250226011&rnid=1250225011&s=books&sr=1-53,1644732572
The Controlled Demolition of the American Empire,$16.63,4.9 out of 5 stars,187,Empty,Empty,https://www.amazon.com//Controlled-Demolition-American-Empire/dp/B08M21XKJ5/ref=sr_1_54?dchild=1&fst=as%3Aoff&qid=1605801212&refinements=p_n_publication_date%3A1250226011&rnid=1250225011&s=books&sr=1-54,B08M21XKJ5
From a Certain Point of View: The Empire Strikes Back (Star Wars),$0.00,4.3 out of 5 stars,27,Empty,Empty,https://www.amazon.com//Certain-Point-View-Empire-Strikes/dp/B08B6ZFMNN/ref=sr_1_55?dchild=1&fst=as%3Aoff&qid=1605801212&refinements=p_n_publication_date%3A1250226011&rnid=1250225011&s=books&sr=1-55,B08B6ZFMNN
